,client_id,path,sentence,up_votes,down_votes,age,gender,accent
1606,9134c57bdc713c2f307b97aae06a87c56d61d4ca1a12b02f06bdb9badf40b090cdf9e465e1971a8a3f348b9ff43e07821d116cb92e86fb30541d2d57771aba7d,98d183503bbe6edb511c5121d75d35030206c2e8fe6d3b151bb8641ce1364bc67610809b4b1d836a60e5b724b86949fcfdf8f6d70227dc3026d4e8ec9123834a,An Asian man breakdancing on a table.,2,0,twenties,male,indian
1607,9134c57bdc713c2f307b97aae06a87c56d61d4ca1a12b02f06bdb9badf40b090cdf9e465e1971a8a3f348b9ff43e07821d116cb92e86fb30541d2d57771aba7d,126ec3425c8efcf7c4a7c2f560ce2221682fcb8e5bbe025bc598451c73446b42e40a2e7d126c4a6fe31956dd9579b83ba3ce172cbd2ccacc0e468d7555eb1882,Young man in a gray sweatshirt playing a guitar video game.,2,0,twenties,male,indian
1608,9134c57bdc713c2f307b97aae06a87c56d61d4ca1a12b02f06bdb9badf40b090cdf9e465e1971a8a3f348b9ff43e07821d116cb92e86fb30541d2d57771aba7d,16ef835fc4efcde807bc39a98c6e8a034d170118be943652b1d42920130152c8c908d6fe402ba97c7e10fe7833f394de1ab1608b07000b195bc2572cc1fb1407,A group of four people congregate on a sidewalk.,2,0,twenties,male,indian
1609,9134c57bdc713c2f307b97aae06a87c56d61d4ca1a12b02f06bdb9badf40b090cdf9e465e1971a8a3f348b9ff43e07821d116cb92e86fb30541d2d57771aba7d,09dd0d2aad8329c8abdd2507ee621b4d94f5042e5d7af13106522926db0aa7474d0df9ef03aea11147a814b75fbe5b79bc1f721a3187f36b7a190de5d180a532,"People sit, eat, and relax in the shade.",2,1,twenties,male,indian
1610,9134c57bdc713c2f307b97aae06a87c56d61d4ca1a12b02f06bdb9badf40b090cdf9e465e1971a8a3f348b9ff43e07821d116cb92e86fb30541d2d57771aba7d,3a8a31e2002c16e6601693e745efc84af146fb64dc6cd3fe7404bb345ceb86534b36aa46998b8c9f7a2df5962e0ce04320c8d3b282ae8f817d749b5697e8bb39,A lone African American walks down a city street.,2,0,twenties,male,indian
1611,9134c57bdc713c2f307b97aae06a87c56d61d4ca1a12b02f06bdb9badf40b090cdf9e465e1971a8a3f348b9ff43e07821d116cb92e86fb30541d2d57771aba7d,60cd56b5fe70fa87e33753914902c41b7afaaa7d0dd09b0600d7e98dbe7f9ef9963e38bd818a464345b939d79c592ad7cdaaa17642e60f3d5038be1d741a7a7e,A man with earphones is hard at work.,2,0,twenties,male,indian
1612,9134c57bdc713c2f307b97aae06a87c56d61d4ca1a12b02f06bdb9badf40b090cdf9e465e1971a8a3f348b9ff43e07821d116cb92e86fb30541d2d57771aba7d,653171e737025008de36439ef0aa91d45bff38c908946018021666485ae0837f7ac6782ec88e79fc372d7f1eeeab23d528d7c576337fa27761482bab32a8664a,"Tall skyscrapers, a green truck and a woman in a yellow shirt.",2,1,twenties,male,indian
1613,9134c57bdc713c2f307b97aae06a87c56d61d4ca1a12b02f06bdb9badf40b090cdf9e465e1971a8a3f348b9ff43e07821d116cb92e86fb30541d2d57771aba7d,695fc0661fc737af8fc35558119e9acfd3c95016dcd061bd84db2077d8b76ac80f350f27e34a3886b280d84a86dfe347c316006e76de803145e071d3dbacf72f,A father is holding his child in a blue towel.,2,0,twenties,male,indian
1614,9134c57bdc713c2f307b97aae06a87c56d61d4ca1a12b02f06bdb9badf40b090cdf9e465e1971a8a3f348b9ff43e07821d116cb92e86fb30541d2d57771aba7d,096f7c3b609e6009b308ff9e4b36578b306be81ebe52f0d32a3364745cf66369405cf2baa39a0694c53f523ae7dc53814eb85ef0ebcf9a018f2d1fc998af9331,A skier in a black vest and blue pants poses on a snowy mountain.,2,1,twenties,male,indian
1615,9134c57bdc713c2f307b97aae06a87c56d61d4ca1a12b02f06bdb9badf40b090cdf9e465e1971a8a3f348b9ff43e07821d116cb92e86fb30541d2d57771aba7d,69db5fe20c3458e46c161718ff6047c98f35443f67598d2c1c69f21075f1d1bd6fb37e5565fac6654baa5775bba65f16e6681ad7c99811e890fc1d4be00b8c3e,A girl footballer stands near a fence about to toss the ball back into play.,2,0,twenties,male,indian
1616,9134c57bdc713c2f307b97aae06a87c56d61d4ca1a12b02f06bdb9badf40b090cdf9e465e1971a8a3f348b9ff43e07821d116cb92e86fb30541d2d57771aba7d,9a621833830c99eb7e94e06e9c2cc967323b57ad1b3fd74349f2c475f85fec89e6588f659a13e59208cddd94964686bff28fb2162065f9f8c1e1f50eb5b5e302,"Three people sitting at a table, and one of them toasting a drink to the camera.",2,0,twenties,male,indian
1617,9134c57bdc713c2f307b97aae06a87c56d61d4ca1a12b02f06bdb9badf40b090cdf9e465e1971a8a3f348b9ff43e07821d116cb92e86fb30541d2d57771aba7d,8785e8b2f574b26f8e3e00bc75e7f6c4316c70256a6cc7f04328ba19cccc26afa544dad59ec29056a0a89043e08674af26d4bc41f041665b076031abc80f3113,Elderly native sitting in lawn chair in a hut.,2,1,twenties,male,indian
1618,9134c57bdc713c2f307b97aae06a87c56d61d4ca1a12b02f06bdb9badf40b090cdf9e465e1971a8a3f348b9ff43e07821d116cb92e86fb30541d2d57771aba7d,1779941142c8150577b91c22a0763aae6789c24ffb462c90d46d916bfdcf86d1ce60eeb19dd9596602d1bf65a8aeff4d462a37394654827f5a91582d4b987118,White man wearing a bright red jacket is sitting atop a donkey in the desert.,2,0,twenties,male,indian
1619,9135c6709f867eb10c2fa908ff0113fa94ee638257930ec9fb42abee0ad5ed9cc225383043c47984634a989ce3a73d5e6e0a145312fd5e3835aa4746129b8317,8b5636a80d02385a5c44c77f87fce8210852502cb526361a38eb4cf5902aebe1352754c068643027b5c66edf84dfe45c805e80fd34e72358ca410b218417ae68,There is a person kneeling on the ground.,3,0,thirties,male,indian
1620,9135c6709f867eb10c2fa908ff0113fa94ee638257930ec9fb42abee0ad5ed9cc225383043c47984634a989ce3a73d5e6e0a145312fd5e3835aa4746129b8317,9344cb65df16517edaf11f98f4b603863d95caec973df9422cae0c4cdeb1166f5327d0b2e8f36ee035095402a320d2f2da7e93e19c3cd65db47cf55b8eb7ec9f,Hockey goaltender diving,2,0,thirties,male,indian
1621,9135c6709f867eb10c2fa908ff0113fa94ee638257930ec9fb42abee0ad5ed9cc225383043c47984634a989ce3a73d5e6e0a145312fd5e3835aa4746129b8317,5a15cbe9e323012672f898bbcdca19693ca06bb9207107626f9dd962551c4144328481924b557567fb14426028b3d93221d80e119fe31e0375da5ff6b68bd218,A little girl looks sad while she is getting her hair combed.,3,0,thirties,male,indian
1622,9135c6709f867eb10c2fa908ff0113fa94ee638257930ec9fb42abee0ad5ed9cc225383043c47984634a989ce3a73d5e6e0a145312fd5e3835aa4746129b8317,3dd5043d0258c5fb92c7bbbfdbad2952b8baa495a92980effb6a8f59cb1002a06db47a7638eef5b0392f2365ddb0c68840d61c6c95b9d3fc23a44663acf15810,A woman is standing in a large drainage hole.,3,0,thirties,male,indian
1623,9135c6709f867eb10c2fa908ff0113fa94ee638257930ec9fb42abee0ad5ed9cc225383043c47984634a989ce3a73d5e6e0a145312fd5e3835aa4746129b8317,cb5ee5ff4bd68fd48f24e784ee10c477d72f152484ff9966f73c7cba7e6841dc985c355bc7f7f267510b43a73a7f0f6c9195074eade74fe69e93b0dbfd111dc7,a guy enjoying a day playing Frisbee.,3,0,thirties,male,indian
1624,9135c6709f867eb10c2fa908ff0113fa94ee638257930ec9fb42abee0ad5ed9cc225383043c47984634a989ce3a73d5e6e0a145312fd5e3835aa4746129b8317,8c5b0ccd2f1aeb6b6a0c7dc5b35969c8c5b5b35ec3aff9808cb38116c24c5753055d6ef296ec7222f7d3766335d71813a902643bc04636b4684f43b72377ffd5,Man in dark clothes as he stands in front of a lighted Christmas tree in the shadows.,2,1,thirties,male,indian
1625,9135c6709f867eb10c2fa908ff0113fa94ee638257930ec9fb42abee0ad5ed9cc225383043c47984634a989ce3a73d5e6e0a145312fd5e3835aa4746129b8317,2cad5d9ff817606d523a94a23c7bf2b587048ee05e028962577a1cff44a89750741c2df664b7136c6202e388406fd6c55fffd46b85d8d9715a48ee821cdd7db4,Three people are standing outside of a ghetto shack.,2,0,thirties,male,indian
1626,9135c6709f867eb10c2fa908ff0113fa94ee638257930ec9fb42abee0ad5ed9cc225383043c47984634a989ce3a73d5e6e0a145312fd5e3835aa4746129b8317,d0c0c7fc38db3c612eb89bf1969e48669b8f4ff4bf82efe70a6d39aab7ca770486b2c31e2f8a2a8a10d867a163fa4b096ce8cb68efd2020e554a3933f5a29493,A young boy in a white dress shirt is playing on a grassy plain.,2,0,thirties,male,indian
1627,9135c6709f867eb10c2fa908ff0113fa94ee638257930ec9fb42abee0ad5ed9cc225383043c47984634a989ce3a73d5e6e0a145312fd5e3835aa4746129b8317,f38aafe5b9009c97f402bd399bdefdcde0299dcd55790b0d99c9535349ecf3a20bbd557fc75611308b2cdb952b5d39880850f41dfeae58a83ebd4c25a7436d34,A darkhaired young woman in a green shirt and white skirt looks into the camera.,3,0,thirties,male,indian
1628,9135c6709f867eb10c2fa908ff0113fa94ee638257930ec9fb42abee0ad5ed9cc225383043c47984634a989ce3a73d5e6e0a145312fd5e3835aa4746129b8317,4a6538c7cb7a632a9a5bc31864d1e81ef8a09d7065f0ee93977185b33b7b3209a993a99324bac1a02063b1b70f3403ab8088f1b37c310936cabd44b8b7beefd4,Four people are sitting on a rock out in a body of water.,3,0,thirties,male,indian
1629,9135c6709f867eb10c2fa908ff0113fa94ee638257930ec9fb42abee0ad5ed9cc225383043c47984634a989ce3a73d5e6e0a145312fd5e3835aa4746129b8317,023bc4b0a3ae47825ccc6e1cfaed5df0eca5f5063f490f03d6ed2a3ca041b5f041e63d6dc704ea15ecd417924ed6dcc3cc70904b0b5f2772f74f8f5f354ea892,Group of people pick up something that is on fire.,2,1,thirties,male,indian
1630,9135c6709f867eb10c2fa908ff0113fa94ee638257930ec9fb42abee0ad5ed9cc225383043c47984634a989ce3a73d5e6e0a145312fd5e3835aa4746129b8317,18d65cbd85bb47d35256edf70413aefc631c9ed485d01e5fcd6dfe1ac6998ccd72ab74088b1bc766a5fe80d894c4b8f0b1643c4651f97963ba5d02086f9fb3dd,The man in the blue shirt is working on the light.,2,0,thirties,male,indian
1631,9135c6709f867eb10c2fa908ff0113fa94ee638257930ec9fb42abee0ad5ed9cc225383043c47984634a989ce3a73d5e6e0a145312fd5e3835aa4746129b8317,2f1821fda5a3a150732e39572fddf7c1a8be3421a7f6e4a2f104c85cfb0694ee5b35d67100194f4006d357656bc23598d0226d78e170effdcc57dc759a3643e4,A man wearing a colorful suit sits on a sidewalk playing a basset horn to collect money.,3,0,thirties,male,indian
1632,9135c6709f867eb10c2fa908ff0113fa94ee638257930ec9fb42abee0ad5ed9cc225383043c47984634a989ce3a73d5e6e0a145312fd5e3835aa4746129b8317,14c469bd1373e88502d6033eadadb4d2c8725b98dc9895d5a7b3cd325692405458c3dc1276ab7d85e06165d0bc120ec2a87babbdb469c44f4632e8048afd4162,A lady and her little girl are holding hands and walking up the sidewalk.,3,1,thirties,male,indian
1633,9135c6709f867eb10c2fa908ff0113fa94ee638257930ec9fb42abee0ad5ed9cc225383043c47984634a989ce3a73d5e6e0a145312fd5e3835aa4746129b8317,a7592f29cb6518fb9152abd81c6dadc0746bdb13c1deadb56f36c63703de2bccfa4ca7f6cfeb040326cb4fbf5711bf124a5444bb21cfe2bf4e5e847ab4043ee0,A man in a plaza stares at a woman with see through pants.,3,0,thirties,male,indian
1634,9135c6709f867eb10c2fa908ff0113fa94ee638257930ec9fb42abee0ad5ed9cc225383043c47984634a989ce3a73d5e6e0a145312fd5e3835aa4746129b8317,85b386bc252f6e1ffca399319ebe122c43cd75e3aa3f392a3a3b2c4927d5444137f0e4785d457459c88a59800200815c52a13dc52a3848a31e3f4bcd2be10a3e,A man looks down at a collection of glassblown lamps and other small glass products.,2,0,thirties,male,indian
1635,9135c6709f867eb10c2fa908ff0113fa94ee638257930ec9fb42abee0ad5ed9cc225383043c47984634a989ce3a73d5e6e0a145312fd5e3835aa4746129b8317,b16910de585f7d57d7abd3f31def23e891459b192d5f3a285a9dacbd15e983c52aa043f29c73d149e0e9a35e849406e6d6c3ff29551d1f00bf6f98465a89f2dd,Two elderly females sitting on a white bench amongst trees.,3,0,thirties,male,indian
1958,039bba70317242b191f2cfea3236b134323c8a11e9380493bcaffd5ce995180b2e5427c93d505b9558157dac0d85d417168ad3f07a2aa6a9aa04d6c2cb0be33b,7acfef9ab2ec337614f135242a161b7d7c117939031afa586fdd0dbcb7fdeff422fb77a4f63c974cb0688524b84d2b39f9464190aa884a7a22f0f444040fe8ee,Cattle plague,2,0,thirties,male,indian
2240,9644456e338fc52e2cd86554e7f4abbdf18254900a11e983013b696631bd59acc12494544071e47e0683e42e0016b6c8482fdb88e43935346c3570fef8bb0a78,2ce2a9e9adbd7ca7ea25712d890ca038a01e5636f1088715e45ff423df7fb70ea1c19f8d67c3813a08d7bca0347636689457a9de120abefd8e03ed464d6af88a,"A Woman with glasses on, cooking.",2,1,thirties,male,indian
2241,9644456e338fc52e2cd86554e7f4abbdf18254900a11e983013b696631bd59acc12494544071e47e0683e42e0016b6c8482fdb88e43935346c3570fef8bb0a78,ab736382eaa5395dcd95b09af464e3a7d100b26ce138cce847e64b8aad8cd185f23c83318f4401e7d50040eef17aace1acb9a3c91aed712073ddab250273ca2d,A man with a black shirt pours a mixed drink into a glass behind a bar.,3,0,thirties,male,indian
2242,9644456e338fc52e2cd86554e7f4abbdf18254900a11e983013b696631bd59acc12494544071e47e0683e42e0016b6c8482fdb88e43935346c3570fef8bb0a78,847fd21b8700a8664689b2214bcff98c9c49aaced7e87046dc3a44c8687f13850e4b3e7e5c098ac0ff4b23975b364c2cf3b4873d2da671f30db3a9c46ed763f6,A person is standing near a row of identical red and white bicycles.,2,1,thirties,male,indian
2243,9644456e338fc52e2cd86554e7f4abbdf18254900a11e983013b696631bd59acc12494544071e47e0683e42e0016b6c8482fdb88e43935346c3570fef8bb0a78,541bdbb34a86a2afd4519cf305052bb224846028e477bca8a743bb236d31ae26621343bbb36851a8011574b103d75977a83d7ed5bc535de319e817fda5a2dfea,A baseball catcher catches a ball while the umpire watches.,2,1,thirties,male,indian
2244,9644456e338fc52e2cd86554e7f4abbdf18254900a11e983013b696631bd59acc12494544071e47e0683e42e0016b6c8482fdb88e43935346c3570fef8bb0a78,6d9d8204eb8079a80648ccd8555a1a418ddda4a31a08b7e4e943f6c92af4ea16aae4448e585c29abb1b0ac6e09abc34b416e2da871483ce4fb5cec7eb8b55158,A line is forming for the food cart.,2,0,thirties,male,indian
2245,9644456e338fc52e2cd86554e7f4abbdf18254900a11e983013b696631bd59acc12494544071e47e0683e42e0016b6c8482fdb88e43935346c3570fef8bb0a78,9bb6e0e0a17a11b32579014642ccf8125525d91f379cd20ed77dfb666d59e43f5ca3c137c0755e1671c846897091a3c273fa9f370795a7fc1c08a5e52680c1c0,Four women covered in tattoos are holding small flags.,2,1,thirties,male,indian
2246,9644456e338fc52e2cd86554e7f4abbdf18254900a11e983013b696631bd59acc12494544071e47e0683e42e0016b6c8482fdb88e43935346c3570fef8bb0a78,7e1fde00f4451321d16cea1563b767fa510bbb20344793c0c8b8be7791efbd2045c917cd0b5a608e44f3ff732ce7bdc84ce1ea64c630d358baf7a699e9095284,A bellhop is pushing a cart.,2,1,thirties,male,indian
2247,9644456e338fc52e2cd86554e7f4abbdf18254900a11e983013b696631bd59acc12494544071e47e0683e42e0016b6c8482fdb88e43935346c3570fef8bb0a78,e0632fac4c2f7b76e0ac4b7d0c50f010981596f027fb492aabf171be83c2f2bf87e81da3dabad7546dca485824f28c0fb12531930c5cc40d45d213534262334d,A boy and a girl holding hands while sitting on a shore.,2,0,thirties,male,indian
2248,9644456e338fc52e2cd86554e7f4abbdf18254900a11e983013b696631bd59acc12494544071e47e0683e42e0016b6c8482fdb88e43935346c3570fef8bb0a78,568355db7add5f60327ff8015d5811d6e4acac119f05519d936a3c0ad158b8519bda6efdab3cb18e8df01bd94018371df13988c139b8bea7b1c13b2141fb77f7,A couple at standing at the corner embracing.,2,0,thirties,male,indian
2249,9644456e338fc52e2cd86554e7f4abbdf18254900a11e983013b696631bd59acc12494544071e47e0683e42e0016b6c8482fdb88e43935346c3570fef8bb0a78,a40e8c5d90e6ff51bcbdf03ed176eb292b5142e71913d888e6e7c22fd9ef2c79619c760b6769dd97ab85a46f97b27f8a8a204e0a8590031d416daf22dc237ab7,A young boy dumping a pail of water over his head.,2,0,thirties,male,indian
2250,9644456e338fc52e2cd86554e7f4abbdf18254900a11e983013b696631bd59acc12494544071e47e0683e42e0016b6c8482fdb88e43935346c3570fef8bb0a78,735baa0d855933fdc91bf0a8e1c4ed591ed6b750228e07b883104a56f92c6a472d4d5c9c4d67eaea907afb7ec205028158a35af391b9bdec940578920316caeb,A brown dog runs towards the camera on a dirt trail with mountains in the background.,2,1,thirties,male,indian
2251,9644456e338fc52e2cd86554e7f4abbdf18254900a11e983013b696631bd59acc12494544071e47e0683e42e0016b6c8482fdb88e43935346c3570fef8bb0a78,06346a6f66816a771902e699649d5b339ef496dbd79e1b4918ee56b30fb3be220f172ef1f82e2563ed2e91ac183688197fea62eaf74fac1aa136dc2267d631f9,Two dogs fight in the snow.,2,0,thirties,male,indian
2252,9644456e338fc52e2cd86554e7f4abbdf18254900a11e983013b696631bd59acc12494544071e47e0683e42e0016b6c8482fdb88e43935346c3570fef8bb0a78,1761edf66bea255aadc6ea7f172fa60966adf6b7b54e80295f6d743c59ee7091f6eec6438bb86d9881f30f76a30b9b822fee6e3a76740fcddf4e5aedf6d3310f,a young girl wearing a pink leotard jump in midair,2,1,thirties,male,indian
2253,9644456e338fc52e2cd86554e7f4abbdf18254900a11e983013b696631bd59acc12494544071e47e0683e42e0016b6c8482fdb88e43935346c3570fef8bb0a78,0c94540ab857d2f208de36093d3be53d8a2e3e2106f099497c5074918fb0551f163ab9b40d90f715de462cc3d446a51a851187afb974c50de78344b2c68d0344,A religious man giving a sermon at a beautifully carved pulpit with stained glass murals behind him,4,2,thirties,male,indian
2254,9644456e338fc52e2cd86554e7f4abbdf18254900a11e983013b696631bd59acc12494544071e47e0683e42e0016b6c8482fdb88e43935346c3570fef8bb0a78,7f4d7b6dcf7445d16fe33944514f70bb18978467732635e23f034f4c8f95d191fdc3d80f9409486d04fc325fd49bad472b4cad3d6dea6fb06b9d4f75481a5347,A child looks at her reflection in a puddle of water.,2,0,thirties,male,indian
2255,9644456e338fc52e2cd86554e7f4abbdf18254900a11e983013b696631bd59acc12494544071e47e0683e42e0016b6c8482fdb88e43935346c3570fef8bb0a78,6879a77eaed971d976c2a78269fadf437130af856372e94bba8abef8cb3bcf7a87485a7f91fce4fa4c4f042db642e7335c9ff6e85c2eef7f965366bb2193ed6b,A woman is using her cellphone while a group of people with guitars stands behind her.,2,1,thirties,male,indian
2256,9644456e338fc52e2cd86554e7f4abbdf18254900a11e983013b696631bd59acc12494544071e47e0683e42e0016b6c8482fdb88e43935346c3570fef8bb0a78,49bb1d101e20c3ba13adaf98f6457633655adc03a01cb984b30c482bc399fae1aa7326807ce39def74b0598c6a5b4ed836bd2ff808a6ac5a044ed0744bbedf14,The white and black dog leaped into the air and off the snowy ground.,3,1,thirties,male,indian
2257,9644456e338fc52e2cd86554e7f4abbdf18254900a11e983013b696631bd59acc12494544071e47e0683e42e0016b6c8482fdb88e43935346c3570fef8bb0a78,8442732daffe3efc4d59cd13131daf8bb70b6ae7fe96b3ac845b0a6dc44092b97b0a0fc68903a49b01b5b633951612aba2d523f5e77e04a3b63728deefe8e94d,A man in a strange uniform taking a photo of an oldfashioned red sports car.,2,0,thirties,male,indian
